,Price,MPG,passenger_capacity,passenger_door,weight_lbs,passenger_volume_ft3,wheelbase_in,trach_width_front_in,height_in,fuel_tank_gal,sae_net_torque_rpm,sae_net_horsepower_rpm,Displacement,trans_type,airbag_frontal_driver,airbag_frontal_passenger,airbag_passenger_switch_onoff,airbag_side_body_front,airbag_side_body_rear,aibag_side_head_front,aibag_side_head_rear,brakes_abs,child_safety_doorlocks_rear,daytime_running_lights,traction_control,night_vision,rollover_protection_bars,fog_lamps,parking_aid,tire_pressure_motor,backup_camera,stability_control,Mileage,basic_years,corrosion_miles_km,corrosion_years,Drivetrain_Years,Curb_to,road_size,Make,front_wid,rim,Engine_Electric,Engine_Flat,Engine_I6,Engine_l3,Engine_l4,Engine_l5,Engine_l6,Engine_V6,Engine_V8,Engine_V10,Engine_V12,Engine_W8,Engine_W12,Drivetrain_4WD,Drivetrain_AWD,Drivetrain_FWD,Drivetrain_RWD,Category_Car,Category_Pickup,Category_SUV,Category_Van
Price,1,-0.427764217,-0.184930215,-0.231377346,0.514964802,-0.075796099,0.311586548,0.292637059,-0.183487064,0.470928725,0.707619376,0.723095792,0.452631898,0.370592986,0.016518582,-0.001018377,0.003183417,0.159979646,0.126863077,-0.048518364,-0.051703525,0.199869368,-0.227123298,0.196100762,0.224904919,NA,0.202585807,0.028192133,0.403641454,0.066056038,0.12605864,0.218871611,0.529258995,0.046683541,0.07338065,0.174712368,0.030193783,-0.199116174,0.305360813,0.183445206,0.111761274,-0.46758236,0.517351585,NA,-0.009076195,0.070076572,-0.023941946,-0.378911505,0.016966272,0.110205629,-0.021649343,0.34093377,0.123918607,0.199950376,NA,0.549678199,-0.051645685,0.265511546,-0.422654575,0.233330833,0.109693323,NA,-0.094482186
MPG,-0.427764217,1,-0.090514184,0.113574976,-0.638183905,-0.20149662,-0.479985805,-0.424449749,-0.125269031,-0.705638796,-0.631409325,-0.644623713,-0.690621911,-0.399410995,0.021224649,0.026188858,-0.023980135,0.055314612,0.007353715,0.140117264,0.12027501,-0.097630988,0.144551939,0.119309521,-0.08164889,NA,-0.055529092,-0.096348747,-0.200935311,0.085571387,0.147016873,-0.014550949,-0.094651213,0.034313102,0.137366768,-0.048442233,-0.059776208,0.075764934,-0.43179683,-0.052053847,0.224184044,0.098872113,-0.449310738,NA,-0.028307418,-0.085560539,0.053314184,0.704665813,-0.009112588,-0.000143339,-0.364151562,-0.390568143,-0.086945403,-0.071688741,NA,-0.132137448,-0.071745175,-0.251535461,0.53174293,-0.324756682,0.135176779,NA,-0.120188932
passenger_capacity,-0.184930215,-0.090514184,1,0.588022993,0.450438469,0.900151659,0.428662258,0.491458095,0.729114501,0.345934312,-0.185322342,-0.172932383,-0.01264715,0.002796651,0.05036149,0.06048092,-0.132349872,0.05724744,-0.079506314,0.308906411,0.356836691,0.021057005,0.474345212,-0.011842769,-0.016802105,NA,-0.19600901,0.07980161,0.114943511,0.198153453,0.145947295,0.04816712,-0.118995463,-0.097674096,0.024960251,-0.195445626,0.109821811,0.080697417,0.25985883,-0.151345986,0.077881406,0.459131445,0.087889781,NA,-0.050334878,-0.097527772,-0.001848379,-0.132885587,-0.019590715,-0.047852883,0.42873053,-0.306223711,-0.026512629,-0.019261975,NA,-0.070627712,0.145577527,0.093989142,0.177823959,-0.386129475,-0.533303206,NA,0.456908737
passenger_door,-0.231377346,0.113574976,0.588022993,1,0.161014249,0.506349611,0.268750873,0.189815897,0.514618496,0.133017623,-0.305033395,-0.306888015,-0.222145929,-0.063084871,0.083969964,0.122122382,-0.063380499,0.051224858,0.105781921,0.359619702,0.355393417,0.029762206,0.807821155,-0.00672117,-0.010152585,NA,-0.277151869,0.017890787,0.002090115,0.111710083,0.109713005,0.041471512,-0.049206172,0.057063912,-0.010255121,-0.117949316,0.134913624,0.171961477,0.200488989,-0.050561089,0.041434069,0.399852829,-0.084213158,NA,-0.066729525,-0.093989008,0.018379946,0.102872781,-0.039557347,-0.07301598,0.21744442,-0.33927079,-0.036257362,0.027811806,NA,-0.088008788,0.096944303,0.108518274,0.248638304,-0.465861575,-0.331873678,NA,0.313987407
weight_lbs,0.514964802,-0.638183905,0.450438469,0.161014249,1,0.566854444,0.751446738,0.742422316,0.468226771,0.858593541,0.57169796,0.561576953,0.556582575,0.343362691,0.020236392,0.013113754,-0.061463589,0.131779253,0.002254853,0.130685465,0.194244248,0.254765536,0.102742005,0.043909958,0.235716966,NA,0.100844712,0.157492787,0.409435499,0.188489011,0.114252688,0.243681862,0.104083135,-0.096405779,-0.057376794,0.036440526,0.088107815,-0.08944337,0.611528686,0.03810702,0.060579878,0.018864767,0.623949906,NA,-0.071268132,0.030769991,-0.039061251,-0.59684581,-0.013076225,0.049937346,0.42483857,0.201663498,0.04118798,0.096055989,NA,0.18157002,0.120619185,0.393334007,-0.441095245,0.033512804,-0.387115738,NA,0.355889365
passenger_volume_ft3,-0.075796099,-0.20149662,0.900151659,0.506349611,0.566854444,1,0.562726844,0.64287579,0.779651197,0.452697303,-0.051421304,-0.029716733,0.141110028,0.053372687,0.022644867,0.030439617,-0.152091089,0.027561013,-0.071937278,0.232032839,0.34418975,0.058747007,0.390144731,-0.024235482,0.002185902,NA,-0.170693904,0.063503971,0.185044083,0.237742888,0.184484971,0.056929756,-0.130408002,-0.134767295,-0.016656727,-0.260438268,0.159269114,0.120828153,0.37751954,-0.174594904,0.119169159,0.455616339,0.193124332,NA,-0.097933772,-0.083409285,-0.01725664,-0.244235763,-0.023990251,-0.027077164,0.477438519,-0.223369671,-0.026233447,0.018951258,NA,-0.018360976,0.169777795,0.070999818,0.123730988,-0.30595973,-0.592481534,NA,0.476592536
wheelbase_in,0.311586548,-0.479985805,0.428662258,0.268750873,0.751446738,0.562726844,1,0.653386832,0.293751282,0.726674658,0.465901695,0.460517062,0.514746763,0.290813248,0.021408143,0.010880986,-0.124592571,0.040315442,0.03239692,0.146520954,0.257215846,0.150579777,0.218724984,0.11653702,0.158573793,NA,-0.101745087,0.057852386,0.344220151,0.23741786,0.153647077,0.199018822,-0.120928632,-0.21104653,-0.189147125,-0.11757333,0.179369198,0.003768766,0.651303275,-0.094367112,0.14455738,0.034276328,0.511946388,NA,-0.037572396,0.043684068,-0.054645952,-0.493398022,-0.037447752,0.045948774,0.347417349,0.177964982,0.017919381,0.111899687,NA,0.04449117,-0.075775597,0.161009312,-0.271009186,0.179324129,-0.133517116,NA,0.06148994
trach_width_front_in,0.292637059,-0.424449749,0.491458095,0.189815897,0.742422316,0.64287579,0.653386832,1,0.494933795,0.6811827,0.414140623,0.425778586,0.46100755,0.291686086,-3.20E-05,0.040317151,-0.114337986,0.091684661,-0.026013776,0.119478807,0.264100993,0.174805627,0.19820763,0.082816003,0.150379483,NA,-0.072654888,-0.034601467,0.31289687,0.271382001,0.291689815,0.188594749,-0.045562309,-0.16775399,-0.043145404,-0.204397221,0.209579498,0.085510605,0.581262812,-0.099857105,0.27075523,0.118925645,0.585562572,NA,-0.249188568,-0.141914466,-0.029387777,-0.406011028,-0.008856859,0.028205352,0.471497742,0.073041743,0.004906747,-0.002470022,NA,0.094038828,0.093698863,0.211177976,-0.148032365,-0.102099904,-0.46376218,NA,0.417998138
height_in,-0.183487064,-0.125269031,0.729114501,0.514618496,0.468226771,0.779651197,0.293751282,0.494933795,1,0.366084709,-0.19612607,-0.186296535,-0.033050344,-0.008537599,0.039856479,0.055545649,-0.153327278,0.051707232,-0.063429955,0.236827888,0.31530449,0.122361481,0.381033078,-0.098749049,0.026695071,NA,-0.109200218,0.082363583,0.106926908,0.25091672,0.141407488,0.091663615,-0.116714696,-0.080159148,-0.052844349,-0.241702916,0.197426129,0.180407211,0.26392272,-0.11561148,0.130282551,0.60004116,0.110206606,NA,-0.108552779,-0.08475589,0.024093179,-0.077176517,-0.023988595,-0.038644994,0.355593387,-0.270730118,-0.040049523,-0.021673719,NA,-0.055947833,0.286681501,0.1005418,0.14088499,-0.412815185,-0.863266074,NA,0.794506325
fuel_tank_gal,0.470928725,-0.705638796,0.345934312,0.133017623,0.858593541,0.452697303,0.726674658,0.6811827,0.366084709,1,0.542124083,0.521276857,0.59311636,0.288341626,0.020681478,0.027928885,-0.00563454,0.002942834,-0.010807432,0.026096937,0.044900223,0.152814667,0.05417047,-0.035244912,0.096735572,NA,-0.009585955,0.091592417,0.296500603,-0.016983216,-0.021565208,0.092198065,0.086306809,-0.084642912,-0.195659586,0.013150287,0.114110695,-0.055483345,0.585539321,0.014668276,-0.127366063,0.06699378,0.500216915,NA,-0.006484525,0.009287302,-0.043739982,-0.621440795,-0.009046602,0.014131079,0.419153434,0.240539028,0.038192625,0.103040956,NA,0.16427465,0.083435715,0.279478907,-0.40363068,0.133563197,-0.312123063,NA,0.298177769
sae_net_torque_rpm,0.707619376,-0.631409325,-0.185322342,-0.305033395,0.57169796,-0.051421304,0.465901695,0.414140623,-0.19612607,0.542124083,1,0.951313675,0.761958801,0.411040596,-0.011889475,-0.008358212,-0.024377299,0.07604887,0.055591369,-0.133628472,-0.069492317,0.185688426,-0.26632339,0.136758172,0.214373671,NA,0.054417992,0.051638677,0.379533708,0.036065585,0.124808174,0.183158988,0.109806636,-0.112752478,-0.084036779,0.088956913,-0.016734928,-0.169501499,0.406973863,0.04697308,0.128111522,-0.490147159,0.652334929,NA,-0.080017141,0.007395597,-0.046151817,-0.570573537,0.018455881,0.072386455,0.066639702,0.663675196,0.075009073,0.112378934,NA,0.216559028,-0.053687706,0.163191971,-0.533865992,0.483660379,0.130542459,NA,-0.121324269
sae_net_horsepower_rpm,0.723095792,-0.644623713,-0.172932383,-0.306888015,0.561576953,-0.029716733,0.460517062,0.425778586,-0.186296535,0.521276857,0.951313675,1,0.800050669,0.404728008,-0.004383272,-0.005000717,-0.023145252,0.13248255,0.075218362,-0.096041525,-0.031312952,0.215517458,-0.258886026,0.13609936,0.252593933,NA,0.055910404,0.009443558,0.381103127,0.072472714,0.159034091,0.229032062,0.122540066,-0.122273661,-0.062552694,0.015698135,0.038217382,-0.143163606,0.409217964,0.007854402,0.162976537,-0.487552369,0.671969683,NA,-0.061320214,0.019457612,-0.047396775,-0.615174178,0.020930378,0.054266118,0.119539483,0.631188432,0.12071552,0.101252714,NA,0.243545801,-0.057949225,0.143233693,-0.513545504,0.483603389,0.129093228,NA,-0.122612393
Displacement,0.452631898,-0.690621911,-0.01264715,-0.222145929,0.556582575,0.141110028,0.514746763,0.46100755,-0.033050344,0.59311636,0.761958801,0.800050669,1,0.206632078,-0.038784002,-0.02268082,-0.002871106,-0.111656548,0.013860154,-0.23002363,-0.135338336,0.080420445,-0.228939304,-0.047891215,0.074615155,NA,-0.028470548,0.011292847,0.221995143,-0.088463641,-0.011627675,0.002793199,-0.077355721,-0.28724467,-0.227326583,-0.232421436,0.080582897,-0.087890509,0.440496553,-0.236806608,-0.089222197,-0.157565299,0.492319241,NA,-0.018708457,-0.023916789,-0.062924573,-0.79629641,-0.002484977,-0.009487008,0.329203942,0.636418515,0.078554961,0.114205351,NA,0.180137777,0.038411032,0.005259281,-0.429349118,0.494136115,0.034712955,NA,-0.053063875
trans_type,0.370592986,-0.399410995,0.002796651,-0.063084871,0.343362691,0.053372687,0.290813248,0.291686086,-0.008537599,0.288341626,0.411040596,0.404728008,0.206632078,1,0.017964477,0.007070507,-0.084594481,0.264371973,0.09947403,0.150951186,0.173829339,0.185677557,-0.048646454,0.236214435,0.267508496,NA,0.057490342,-0.006272103,0.310588375,0.218653518,0.197448735,0.294046889,0.213857483,0.193570721,0.09464648,0.234811561,0.040967244,-0.031388477,0.197414408,0.290382633,0.324291946,-0.335795692,0.464664684,NA,-0.044324536,0.063349154,0.006111389,-0.217172862,0.003265114,0.102786254,0.113052111,0.089619681,0.033071782,0.018589568,NA,0.071942704,-0.113263711,0.293745006,-0.325845978,0.112690409,-0.023465469,NA,0.009185571
airbag_frontal_driver,0.016518582,0.021224649,0.05036149,0.083969964,0.020236392,0.022644867,0.021408143,-3.20E-05,0.039856479,0.020681478,-0.011889475,-0.004383272,-0.038784002,0.017964477,1,0.610911729,-0.025901274,0.103188584,0.01478404,0.08488069,0.066231098,0.069124824,0.070403435,0.055466456,0.050880228,NA,-0.013081019,0.016468416,0.025894255,-0.009296048,0.036788065,0.093365973,0.025006553,0.031362151,-0.021168686,0.018546746,0.017277977,0.008191944,0.039130881,0.029023569,0.039330847,-0.026691293,0.024584564,NA,0.006105562,-0.01756802,0.00151793,0.034900082,0.00081098,0.003096114,-0.00598345,-0.037299275,0.002223723,0.002296871,NA,0.003304013,0.00800626,0.028028375,0.036404732,-0.07910002,-0.027408182,NA,0.025931023
airbag_frontal_passenger,-0.001018377,0.026188858,0.06048092,0.122122382,0.013113754,0.030439617,0.010880986,0.040317151,0.055545649,0.027928885,-0.008358212,-0.005000717,-0.02268082,0.007070507,0.610911729,1,0.008879673,0.059911796,0.021501286,0.067099363,0.046908934,0.039791641,0.102391793,0.00783265,0.024986401,NA,-0.047826977,-0.019307246,0.037659515,-0.030254146,0.053503014,0.052010632,0.004917224,0.003009114,-0.030786846,-0.041644554,0.037135869,0.024194797,0.032638068,-0.027987463,0.015673065,0.011190576,0.025314989,NA,0.008879673,-0.180926672,0.002207613,0.05075721,0.001179455,0.004502858,0.020459838,-0.013087464,0.003234089,0.003340473,NA,0.004805218,0.011643968,0.020222796,0.052945511,-0.091877881,-0.039861306,NA,0.037712988
airbag_passenger_switch_onoff,0.003183417,-0.023980135,-0.132349872,-0.063380499,-0.061463589,-0.152091089,-0.124592571,-0.114337986,-0.153327278,-0.00563454,-0.024377299,-0.023145252,-0.002871106,-0.084594481,-0.025901274,0.008879673,1,-0.041367407,-0.052433863,-0.049033263,-0.028629252,0.036274485,-0.037540398,-0.127621874,0.023620743,NA,0.076097397,0.004026767,-0.065273654,-0.190928527,-0.130474509,0.02556282,0.034882694,0.052154372,0.015495263,0.179424884,-0.10902047,-0.091722987,-0.084301184,0.031919011,-0.195908855,-0.017478218,-0.111328516,NA,0.033570246,0.030689417,-0.00538357,-0.013439527,-0.002876265,-0.010980843,-0.012558578,0.015028683,-0.007886774,-0.008146205,NA,-0.011718189,-0.028395429,0.043494861,-0.048891074,0.022718206,0.097207315,NA,-0.091968344
airbag_side_body_front,0.159979646,0.055314612,0.05724744,0.051224858,0.131779253,0.027561013,0.040315442,0.091684661,0.051707232,0.002942834,0.07604887,0.13248255,-0.111656548,0.264371973,0.103188584,0.059911796,-0.041367407,1,0.125381834,0.566839693,0.455967935,0.456484226,0.092380586,0.308931311,0.608441198,NA,0.076778895,0.097148966,0.185662153,0.417200041,0.308309995,0.645435871,0.2107945,0.260559339,0.146635598,0.227761562,0.111382401,0.055384963,-0.055331046,0.334304551,0.485279444,-0.24557157,0.279587014,NA,0.051780607,0.052770073,0.012873396,0.132569931,0.006877833,0.026257807,-0.120741125,-0.089701531,0.018859151,0.019479513,NA,0.028020977,-0.06650123,0.164080541,-0.047994246,-0.097103974,-0.046799491,NA,0.043518183
airbag_side_body_rear,0.126863077,0.007353715,-0.079506314,0.105781921,0.002254853,-0.071937278,0.03239692,-0.026013776,-0.063429955,-0.010807432,0.055591369,0.075218362,0.013860154,0.09947403,0.01478404,0.021501286,-0.052433863,0.125381834,1,0.114476605,0.099720077,0.087835228,0.081586184,0.134332787,0.112926473,NA,-0.077747526,-0.132924077,0.198483919,0.17111192,0.108666599,0.138108019,0.076497659,-0.032878559,-0.052993235,-0.131782578,0.151277702,0.009661683,0.033194944,-0.068837001,0.152033985,-0.11489685,0.098869368,NA,-0.052433863,-0.067031166,0.086143628,0.02148895,-0.006964602,-0.026589072,0.002447063,-0.007619091,-0.019097076,-0.008782339,NA,0.139531933,-0.042786442,0.026202549,-0.011742654,0.003955607,0.138202412,NA,-0.123253927
aibag_side_head_front,-0.048518364,0.140117264,0.308906411,0.359619702,0.130685465,0.232032839,0.146520954,0.119478807,0.236827888,0.026096937,-0.133628472,-0.096041525,-0.23002363,0.150951186,0.08488069,0.067099363,-0.049033263,0.566839693,0.114476605,1,0.744784913,0.412658786,0.356986,0.316449349,0.523997316,NA,-0.209362523,0.070221892,0.130506523,0.497813098,0.262790523,0.599036425,0.097230177,0.176100018,0.157364428,0.151039873,0.132943849,0.064462727,0.052047791,0.198807436,0.420698607,-0.054905146,0.199077803,NA,-0.008711806,0.020035688,0.017883097,0.179303563,0.009554352,-0.015698784,-0.002611313,-0.257539149,-0.000970112,0.009521233,NA,-0.016120224,-0.082578437,0.197700088,0.074518007,-0.275390996,-0.137687925,NA,0.126740898
aibag_side_head_rear,-0.051703525,0.12027501,0.356836691,0.355393417,0.194244248,0.34418975,0.257215846,0.264100993,0.31530449,0.044900223,-0.069492317,-0.031312952,-0.135338336,0.173829339,0.066231098,0.046908934,-0.028629252,0.455967935,0.099720077,0.744784913,1,0.335048739,0.381834226,0.322468774,0.410107879,NA,-0.195467907,0.036125743,0.199142145,0.577869396,0.353668094,0.49905483,0.000905381,0.038622274,0.134378763,0.02772261,0.203394654,0.094145793,0.188907682,0.125896128,0.552776043,-0.02089431,0.287483919,NA,-0.205431665,0.033753937,0.022918685,0.12027325,-0.031200758,0.000991646,0.078016008,-0.206738693,-0.053785542,0.003917907,NA,-0.003750575,-0.095851634,0.159669031,0.120742405,-0.282211801,-0.1858756,NA,0.167708169
brakes_abs,0.199869368,-0.097630988,0.021057005,0.029762206,0.254765536,0.058747007,0.150579777,0.174805627,0.122361481,0.152814667,0.185688426,0.215517458,0.080420445,0.185677557,0.069124824,0.039791641,0.036274485,0.456484226,0.087835228,0.412658786,0.335048739,1,0.051970522,0.271292466,0.712187467,NA,0.053786833,0.171823074,0.144696336,0.389121874,0.213600114,0.60185107,0.062562196,0.067701558,0.034877561,0.163639986,0.018936348,-0.010428224,0.182365164,0.133325363,0.342465854,-0.193783845,0.323082837,NA,0.036274485,0.046373104,0.009018353,-0.057867583,0.00481821,0.018394694,-0.026495129,0.066713828,0.013211626,0.013646215,NA,0.019629868,0.016649276,0.162979848,-0.16161062,0.00345912,-0.119957685,NA,0.110183058
child_safety_doorlocks_rear,-0.227123298,0.144551939,0.474345212,0.807821155,0.102742005,0.390144731,0.218724984,0.19820763,0.381033078,0.05417047,-0.26632339,-0.258886026,-0.228939304,-0.048646454,0.070403435,0.102391793,-0.037540398,0.092380586,0.081586184,0.356986,0.381834226,0.051970522,1,0.063371786,0.045140884,NA,-0.21933586,-0.013699767,0.024708993,0.205725197,0.166371547,0.087675246,-0.079256377,0.035698708,0.040709532,-0.113246558,0.149306984,0.157566237,0.178681963,-0.017471197,0.134001333,0.291568702,-0.021691299,NA,-0.131495273,-0.090957945,0.021560448,0.117316991,-0.033166301,-0.056028513,0.21714489,-0.328671464,-0.033762876,-0.030654869,NA,-0.090988874,0.026897989,0.105423057,0.236188723,-0.415688954,-0.233630359,NA,0.241077615
daytime_running_lights,0.196100762,0.119309521,-0.011842769,-0.00672117,0.043909958,-0.024235482,0.11653702,0.082816003,-0.098749049,-0.035244912,0.136758172,0.13609936,-0.047891215,0.236214435,0.055466456,0.00783265,-0.127621874,0.308931311,0.134332787,0.316449349,0.322468774,0.271292466,0.063371786,1,0.340736305,NA,0.000750759,-0.022280294,0.194737434,0.385079567,0.450725232,0.385832488,0.075078939,0.054029358,-0.087319252,0.102618694,0.024156193,-0.116719012,0.102779249,0.079290799,0.511774038,-0.305473517,0.27401746,NA,0.04650612,0.057459464,0.016470326,0.068354353,0.014621088,0.055819579,-0.104493823,-0.019943769,0.010294157,-0.016297372,NA,0.024350863,-0.163804078,0.090785567,-0.026234118,0.003325605,0.032167055,NA,-0.020563866
traction_control,0.224904919,-0.08164889,-0.016802105,-0.010152585,0.235716966,0.002185902,0.158573793,0.150379483,0.026695071,0.096735572,0.214373671,0.252593933,0.074615155,0.267508496,0.050880228,0.024986401,0.023620743,0.608441198,0.112926473,0.523997316,0.410107879,0.712187467,0.045140884,0.340736305,1,NA,0.062785077,0.142935604,0.184505307,0.478214975,0.270316892,0.817667752,0.100341957,0.090583375,0.070735969,0.197330585,0.073738251,0.002260159,0.132923231,0.186805451,0.44793527,-0.310344327,0.389302558,NA,0.046636751,0.059620168,0.01159456,-0.038946269,0.006194593,0.023649372,-0.050574395,0.058150718,0.016985694,0.017544429,NA,0.025237389,-0.124169308,0.195510157,-0.167280258,0.037295598,-0.043562148,NA,0.02989365
night_vision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rollover_protection_bars,0.202585807,-0.055529092,-0.19600901,-0.277151869,0.100844712,-0.170693904,-0.101745087,-0.072654888,-0.109200218,-0.009585955,0.054417992,0.055910404,-0.028470548,0.057490342,-0.013081019,-0.047826977,0.076097397,0.076778895,-0.077747526,-0.209362523,-0.195467907,0.053786833,-0.21933586,0.000750759,0.062785077,NA,1,0.085253203,-0.007581942,0.022445223,-0.11774265,0.079130572,0.141916505,0.08349043,0.078360295,0.224908739,-0.096538721,-0.10152979,-0.061157463,0.156093205,-0.063842832,-0.117300887,0.032289474,NA,0.076097397,0.140604302,-0.007982613,-0.006732522,-0.004264848,0.082552276,-0.119638903,0.036349018,0.039770436,-0.012078974,NA,0.063725348,0.01703205,0.036413013,-0.076792705,0.043785356,0.050443438,NA,-0.040493522
fog_lamps,0.028192133,-0.096348747,0.07980161,0.017890787,0.157492787,0.063503971,0.057852386,-0.034601467,0.082363583,0.091592417,0.051638677,0.009443558,0.011292847,-0.006272103,0.016468416,-0.019307246,0.004026767,0.097148966,-0.132924077,0.070221892,0.036125743,0.171823074,-0.013699767,-0.022280294,0.142935604,NA,0.085253203,1,0.009820448,0.059931374,-0.094930298,0.078491591,-0.003984931,0.087587897,0.062037493,0.25310941,-0.105383893,-0.068117967,0.02612165,0.162179786,-0.137553684,-0.12118087,0.156437892,NA,0.092169627,0.135927412,-0.004868595,-0.062810003,-0.025807465,0.024438632,-0.081808839,0.10169282,-0.033645776,0.041927064,NA,-0.049990983,0.077903487,0.150688665,-0.158149815,-0.014554265,-0.057759169,NA,0.071689962
parking_aid,0.403641454,-0.200935311,0.114943511,0.002090115,0.409435499,0.185044083,0.344220151,0.31289687,0.106926908,0.296500603,0.379533708,0.381103127,0.221995143,0.310588375,0.025894255,0.037659515,-0.065273654,0.185662153,0.198483919,0.130506523,0.199142145,0.144696336,0.024708993,0.194737434,0.184505307,NA,-0.007581942,0.009820448,1,0.22801633,0.422969317,0.226756801,0.096832116,-0.011807189,0.087216652,0.024123119,0.008004136,-0.064389142,0.277381706,0.026207516,0.326589271,-0.272848957,0.484277929,NA,-0.091837943,-0.061248399,0.023712091,-0.179748946,-0.012198505,0.090923062,0.115960327,0.099341788,0.046101869,0.088701954,NA,0.100733609,-0.04273073,0.131068081,-0.148829899,0.050895225,-0.036996388,NA,0.043190644
tire_pressure_motor,0.066056038,0.085571387,0.198153453,0.111710083,0.188489011,0.237742888,0.23741786,0.271382001,0.25091672,-0.016983216,0.036065585,0.072472714,-0.088463641,0.218653518,-0.009296048,-0.030254146,-0.190928527,0.417200041,0.17111192,0.497813098,0.577869396,0.389121874,0.205725197,0.385079567,0.478214975,NA,0.022445223,0.059931374,0.22801633,1,0.337973445,0.556678312,0.017218148,-0.006605933,0.166170173,-0.015307729,0.214605201,0.124307217,0.136518862,0.104584677,0.656622612,-0.089457706,0.362634181,NA,-0.190928527,0.070710884,0.018342491,0.132453326,0.009799791,0.037413096,-0.003817052,-0.156721593,0.026871217,-0.049964842,NA,0.033902485,-0.069770306,0.082855413,0.057296827,-0.130927979,-0.172644194,NA,0.153223193
