,Price,MPG,passenger_capacity,passenger_door,weight_lbs,passenger_volume_ft3,wheelbase_in,trach_width_front_in,height_in,fuel_tank_gal,sae_net_torque_rpm,sae_net_horsepower_rpm,Displacement,trans_type,airbag_frontal_driver,airbag_frontal_passenger,airbag_passenger_switch_onoff,airbag_side_body_front,airbag_side_body_rear,aibag_side_head_front,aibag_side_head_rear,brakes_abs,child_safety_doorlocks_rear,daytime_running_lights,traction_control,night_vision,rollover_protection_bars,fog_lamps,parking_aid,tire_pressure_motor,backup_camera,stability_control,Mileage,basic_years,corrosion_miles_km,corrosion_years,Drivetrain_Years,Curb_to,road_size,Make,front_wid,rim,Engine_Electric,Engine_Flat,Engine_I6,Engine_l3,Engine_l4,Engine_l5,Engine_l6,Engine_V6,Engine_V8,Engine_V10,Engine_V12,Engine_W8,Engine_W12,Drivetrain_4WD,Drivetrain_AWD,Drivetrain_FWD,Drivetrain_RWD,Category_Car,Category_Pickup,Category_SUV,Category_Van
backup_camera,0.12605864,0.147016873,0.145947295,0.109713005,0.114252688,0.184484971,0.153647077,0.291689815,0.141407488,-0.021565208,0.124808174,0.159034091,-0.011627675,0.197448735,0.036788065,0.053503014,-0.130474509,0.308309995,0.108666599,0.262790523,0.353668094,0.213600114,0.166371547,0.450725232,0.270316892,NA,-0.11774265,-0.094930298,0.422969317,0.337973445,1,0.334530686,-0.075209767,-0.061324189,0.106603002,-0.206508932,0.044404311,0.088010987,0.153836565,-0.190541107,0.683357438,-0.183435275,0.382509497,NA,-0.130474509,-0.145626521,0.04126147,0.095970139,-0.017330462,0.073793654,0.017841498,-0.035688828,-0.025927001,-0.021203913,NA,-0.031716789,-0.047031153,0.03212164,0.0514952,-0.077011468,-0.185467673,NA,0.173367434
stability_control,0.218871611,-0.014550949,0.04816712,0.041471512,0.243681862,0.056929756,0.199018822,0.188594749,0.091663615,0.092198065,0.183158988,0.229032062,0.002793199,0.294046889,0.093365973,0.052010632,0.02556282,0.645435871,0.138108019,0.599036425,0.49905483,0.60185107,0.087675246,0.385832488,0.817667752,NA,0.079130572,0.078491591,0.226756801,0.556678312,0.334530686,1,0.104455706,0.112539429,0.087489784,0.179554518,0.128192736,0.050150344,0.103743523,0.182411145,0.562362548,-0.299143783,0.424815111,NA,0.057036309,0.072914907,0.014180038,0.046498041,0.007575929,0.02892296,-0.107406963,0.000205399,0.020773344,0.021456672,NA,0.03086509,-0.117103378,0.197085904,-0.122843826,-0.021230209,-0.08230629,NA,0.0669833
Mileage,0.529258995,-0.094651213,-0.118995463,-0.049206172,0.104083135,-0.130408002,-0.120928632,-0.045562309,-0.116714696,0.086306809,0.109806636,0.122540066,-0.077355721,0.213857483,0.025006553,0.004917224,0.034882694,0.2107945,0.076497659,0.097230177,0.000905381,0.062562196,-0.079256377,0.075078939,0.100341957,NA,0.141916505,-0.003984931,0.096832116,0.017218148,-0.075209767,0.104455706,1,0.600125409,0.229012441,0.249395377,0.264883677,0.179262276,-0.182627375,0.522883481,-0.017639001,-0.216264893,0.09029877,NA,0.057037084,0.072915898,-0.026578205,0.022440102,0.007576032,0.028923353,-0.105093034,-0.074932949,0.020773627,0.021456964,NA,0.510936749,-0.024855142,0.205229033,-0.092518939,-0.108678564,0.05434096,NA,-0.018567078
basic_years,0.046683541,0.034313102,-0.097674096,0.057063912,-0.096405779,-0.134767295,-0.21104653,-0.16775399,-0.080159148,-0.084642912,-0.112752478,-0.122273661,-0.28724467,0.193570721,0.031362151,0.003009114,0.052154372,0.260559339,-0.032878559,0.176100018,0.038622274,0.067701558,0.035698708,0.054029358,0.090583375,NA,0.08349043,0.087587897,-0.011807189,-0.006605933,-0.061324189,0.112539429,0.600125409,1,0.263981091,0.439892414,0.138040333,0.418495745,-0.306738843,0.654703476,-0.061202013,-0.157195016,-0.049427969,NA,0.086165136,0.110153041,-0.033787954,0.139794424,0.011445007,0.04369411,-0.111165858,-0.144818321,0.031382431,0.032414739,NA,-0.044411985,-0.004731136,0.145195557,-0.040755984,-0.112467843,-0.013986068,NA,0.061398467
corrosion_miles_km,0.07338065,0.137366768,0.024960251,-0.010255121,-0.057376794,-0.016656727,-0.189147125,-0.043145404,-0.052844349,-0.195659586,-0.084036779,-0.062552694,-0.227326583,0.09464648,-0.021168686,-0.030786846,0.015495263,0.146635598,-0.052993235,0.157364428,0.134378763,0.034877561,0.040709532,-0.087319252,0.070735969,NA,0.078360295,0.062037493,0.087216652,0.166170173,0.106603002,0.087489784,0.229012441,0.263981091,1,0.282563147,-0.296038993,-0.024540285,-0.167899045,0.143406842,0.16548493,-0.188521701,0.026172137,NA,-0.121545004,0.08653248,0.018665456,0.14257133,0.00997234,0.038071847,-0.03151622,-0.179077234,0.027344352,-0.002856451,NA,0.04062831,0.008495456,0.130962875,0.014016213,-0.168410267,0.057644682,NA,-0.062084805
corrosion_years,0.174712368,-0.048442233,-0.195445626,-0.117949316,0.036440526,-0.260438268,-0.11757333,-0.204397221,-0.241702916,0.013150287,0.088956913,0.015698135,-0.232421436,0.234811561,0.018546746,-0.041644554,0.179424884,0.227761562,-0.131782578,0.151039873,0.02772261,0.163639986,-0.113246558,0.102618694,0.197330585,NA,0.224908739,0.25310941,0.024123119,-0.015307729,-0.206508932,0.179554518,0.249395377,0.439892414,0.282563147,1,-0.386592497,-0.249896064,-0.108653625,0.724681369,-0.116035483,-0.337067572,-0.012608889,NA,-0.012994086,0.305570005,-0.026234,0.050837782,0.033493166,0.12786835,-0.184071545,-0.005109141,0.091838916,0.039595771,NA,-0.052074987,-0.122688493,0.348512552,-0.227809349,-0.062954825,0.180732595,NA,-0.147791405
Drivetrain_Years,0.030193783,-0.059776208,0.109821811,0.134913624,0.088107815,0.159269114,0.179369198,0.209579498,0.197426129,0.114110695,-0.016734928,0.038217382,0.080582897,0.040967244,0.017277977,0.037135869,-0.10902047,0.111382401,0.151277702,0.132943849,0.203394654,0.018936348,0.149306984,0.024156193,0.073738251,NA,-0.096538721,-0.105383893,0.008004136,0.214605201,0.044404311,0.128192736,0.264883677,0.138040333,-0.296038993,-0.386592497,1,0.669500394,-0.013937557,0.133255522,0.167538337,0.156825163,0.138811695,NA,-0.116914731,-0.149463156,-0.01350585,0.046555119,-0.015529365,-0.059287148,0.062772515,-0.042922453,-0.042581822,-0.043982528,NA,0.193327056,-0.007846299,-0.054399627,0.121237288,-0.081220781,-0.176442506,NA,0.174940484
Curb_to,-0.199116174,0.075764934,0.080697417,0.171961477,-0.08944337,0.120828153,0.003768766,0.085510605,0.180407211,-0.055483345,-0.169501499,-0.143163606,-0.087890509,-0.031388477,0.008191944,0.024194797,-0.091722987,0.055384963,0.009661683,0.064462727,0.094145793,-0.010428224,0.157566237,-0.116719012,0.002260159,NA,-0.10152979,-0.068117967,-0.064389142,0.124307217,0.088010987,0.050150344,0.179262276,0.418495745,-0.024540285,-0.249896064,0.669500394,1,-0.166938501,0.122536333,0.136876045,0.17062658,-0.013343194,NA,-0.085955901,-0.109885557,-0.005454906,0.129710108,-0.011417215,-0.043588008,0.034068359,-0.102549799,-0.031306225,-0.032336027,NA,-0.072758364,0.07258478,-0.098396117,0.153012665,-0.106279244,-0.192301456,NA,0.194031069
road_size,0.305360813,-0.43179683,0.25985883,0.200488989,0.611528686,0.37751954,0.651303275,0.581262812,0.26392272,0.585539321,0.406973863,0.409217964,0.440496553,0.197414408,0.039130881,0.032638068,-0.084301184,-0.055331046,0.033194944,0.052047791,0.188907682,0.182365164,0.178681963,0.102779249,0.132923231,NA,-0.061157463,0.02612165,0.277381706,0.136518862,0.153836565,0.103743523,-0.182627375,-0.306738843,-0.167899045,-0.108653625,-0.013937557,-0.166938501,1,-0.184136767,0.080008187,-0.009185152,0.450780714,NA,-0.162870656,0.025046291,-0.037518147,-0.426293904,-0.012797119,0.046873862,0.323840207,0.173882563,0.065379344,0.079004992,NA,0.035550768,-0.010448161,0.221962958,-0.203224334,-0.000644988,-0.208007975,NA,0.188335962
Make,0.183445206,-0.052053847,-0.151345986,-0.050561089,0.03810702,-0.174594904,-0.094367112,-0.099857105,-0.11561148,0.014668276,0.04697308,0.007854402,-0.236806608,0.290382633,0.029023569,-0.027987463,0.031919011,0.334304551,-0.068837001,0.198807436,0.125896128,0.133325363,-0.017471197,0.079290799,0.186805451,NA,0.156093205,0.162179786,0.026207516,0.104584677,-0.190541107,0.182411145,0.522883481,0.654703476,0.143406842,0.724681369,0.133255522,0.122536333,-0.184136767,1,0.000178359,-0.230254825,0.028684559,NA,-0.131530546,0.215520418,-0.024702877,0.123785945,0.025257222,0.096425618,-0.159755057,-0.062384005,0.061445069,-0.011663766,NA,0.102900444,-0.081784554,0.280391711,-0.10997661,-0.146647612,0.053326166,NA,-0.019324781
front_wid,0.111761274,0.224184044,0.077881406,0.041434069,0.060579878,0.119169159,0.14455738,0.27075523,0.130282551,-0.127366063,0.128111522,0.162976537,-0.089222197,0.324291946,0.039330847,0.015673065,-0.195908855,0.485279444,0.152033985,0.420698607,0.552776043,0.342465854,0.134001333,0.511774038,0.44793527,NA,-0.063842832,-0.137553684,0.326589271,0.656622612,0.683357438,0.562362548,-0.017639001,-0.061202013,0.16548493,-0.116035483,0.167538337,0.136876045,0.080008187,0.000178359,1,-0.255103847,0.436599465,NA,-0.246301476,-0.072626732,0.046368512,0.231079132,0.002526798,0.07114841,-0.087157891,-0.073903085,-0.033199178,-0.067236845,NA,0.010526058,-0.121263869,0.037105812,0.10669856,-0.115589209,-0.132783801,NA,0.103020749
rim,-0.46758236,0.098872113,0.459131445,0.399852829,0.018864767,0.455616339,0.034276328,0.118925645,0.60004116,0.06699378,-0.490147159,-0.487552369,-0.157565299,-0.335795692,-0.026691293,0.011190576,-0.017478218,-0.24557157,-0.11489685,-0.054905146,-0.02089431,-0.193783845,0.291568702,-0.305473517,-0.310344327,NA,-0.117300887,-0.12118087,-0.272848957,-0.089457706,-0.183435275,-0.299143783,-0.216264893,-0.157195016,-0.188521701,-0.337067572,0.156825163,0.17062658,-0.009185152,-0.230254825,-0.255103847,1,-0.531008929,NA,0.003639615,-0.067943947,0.015879551,0.030604502,-0.037529233,-0.064126152,0.270175031,-0.331929696,-0.083279604,-0.03217186,NA,-0.114458626,0.232195004,-0.129823421,0.250756694,-0.260823196,-0.514888605,NA,0.475643227
Engine_Electric,0.517351585,-0.449310738,0.087889781,-0.084213158,0.623949906,0.193124332,0.511946388,0.585562572,0.110206606,0.500216915,0.652334929,0.671969683,0.492319241,0.464664684,0.024584564,0.025314989,-0.111328516,0.279587014,0.098869368,0.199077803,0.287483919,0.323082837,-0.021691299,0.27401746,0.389302558,NA,0.032289474,0.156437892,0.484277929,0.362634181,0.382509497,0.424815111,0.09029877,-0.049427969,0.026172137,-0.012608889,0.138811695,-0.013343194,0.450780714,0.028684559,0.436599465,-0.531008929,1,NA,-0.111328516,-0.054332409,-0.032249626,-0.372456182,0.023014881,0.048826442,0.178495401,0.300614873,0.063107252,0.046811035,NA,0.139527653,-0.075666001,0.274862191,-0.357051554,0.154587394,-0.121759793,NA,0.154482286
Engine_Flat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Engine_I6,-0.009076195,-0.028307418,-0.050334878,-0.066729525,-0.071268132,-0.097933772,-0.037572396,-0.249188568,-0.108552779,-0.006484525,-0.080017141,-0.061320214,-0.018708457,-0.044324536,0.006105562,0.008879673,0.033570246,0.051780607,-0.052433863,-0.008711806,-0.205431665,0.036274485,-0.131495273,0.04650612,0.046636751,NA,0.076097397,0.092169627,-0.091837943,-0.190928527,-0.130474509,0.057036309,0.057037084,0.086165136,-0.121545004,-0.012994086,-0.116914731,-0.085955901,-0.162870656,-0.131530546,-0.246301476,0.003639615,-0.111328516,NA,1,-0.027682754,-0.00538357,-0.123778486,-0.002876265,-0.010980843,-0.113897984,-0.058419207,-0.007886774,-0.008146205,NA,-0.011718189,-0.028395429,-0.050820317,-0.12911496,0.225753136,0.082794183,NA,-0.077219591
Engine_l3,0.070076572,-0.085560539,-0.097527772,-0.093989008,0.030769991,-0.083409285,0.043684068,-0.141914466,-0.08475589,0.009287302,0.007395597,0.019457612,-0.023916789,0.063349154,-0.01756802,-0.180926672,0.030689417,0.052770073,-0.067031166,0.020035688,0.033753937,0.046373104,-0.090957945,0.057459464,0.059620168,NA,0.140604302,0.135927412,-0.061248399,0.070710884,-0.145626521,0.072914907,0.072915898,0.110153041,0.08653248,0.305570005,-0.149463156,-0.109885557,0.025046291,0.215520418,-0.072626732,-0.067943947,-0.054332409,NA,-0.027682754,1,-0.006882327,-0.158237744,-0.003677001,-0.014037851,-0.145606564,-0.074682796,-0.010082409,-0.010414064,NA,-0.01498047,-0.036300561,0.03831487,-0.165059863,0.172137338,0.064854238,NA,-0.056773242
Engine_l4,-0.023941946,0.053314184,-0.001848379,0.018379946,-0.039061251,-0.01725664,-0.054645952,-0.029387777,0.024093179,-0.043739982,-0.046151817,-0.047396775,-0.062924573,0.006111389,0.00151793,0.002207613,-0.00538357,0.012873396,0.086143628,0.017883097,0.022918685,0.009018353,0.021560448,0.016470326,0.01159456,NA,-0.007982613,-0.004868595,0.023712091,0.018342491,0.04126147,0.014180038,-0.026578205,-0.033787954,0.018665456,-0.026234,-0.01350585,-0.005454906,-0.037518147,-0.024702877,0.046368512,0.015879551,-0.032249626,NA,-0.00538357,-0.006882327,1,-0.030773093,-0.00071508,-0.002729994,-0.02831666,-0.014523846,-0.001960764,-0.002025262,NA,-0.002913309,-0.007059508,-0.024713976,0.041695943,-0.019190003,-0.044018144,NA,0.046908372
Engine_l5,-0.378911505,0.704665813,-0.132885587,0.102872781,-0.59684581,-0.244235763,-0.493398022,-0.406011028,-0.077176517,-0.621440795,-0.570573537,-0.615174178,-0.79629641,-0.217172862,0.034900082,0.05075721,-0.013439527,0.132569931,0.02148895,0.179303563,0.12027325,-0.057867583,0.117316991,0.068354353,-0.038946269,NA,-0.006732522,-0.062810003,-0.179748946,0.132453326,0.095970139,0.046498041,0.022440102,0.139794424,0.14257133,0.050837782,0.046555119,0.129710108,-0.426293904,0.123785945,0.231079132,0.030604502,-0.372456182,NA,-0.123778486,-0.158237744,-0.030773093,1,-0.016441053,-0.06276774,-0.651053725,-0.333930775,-0.045081689,-0.046564626,NA,-0.066982493,-0.049797109,-0.132004592,0.448875578,-0.36959894,0.038135566,NA,-0.028050135
Engine_l6,0.016966272,-0.009112588,-0.019590715,-0.039557347,-0.013076225,-0.023990251,-0.037447752,-0.008856859,-0.023988595,-0.009046602,0.018455881,0.020930378,-0.002484977,0.003265114,0.00081098,0.001179455,-0.002876265,0.006877833,-0.006964602,0.009554352,-0.031200758,0.00481821,-0.033166301,0.014621088,0.006194593,NA,-0.004264848,-0.025807465,-0.012198505,0.009799791,-0.017330462,0.007575929,0.007576032,0.011445007,0.00997234,0.033493166,-0.015529365,-0.011417215,-0.012797119,0.025257222,0.002526798,-0.037529233,0.023014881,NA,-0.002876265,-0.003677001,-0.00071508,-0.016441053,1,-0.001458546,-0.015128661,-0.007759614,-0.001047572,-0.001082031,NA,-0.001556485,-0.003771663,0.028934248,-0.017149878,-0.010252588,0.0129117,NA,-0.012215826
Engine_V6,0.110205629,-0.000143339,-0.047852883,-0.07301598,0.049937346,-0.027077164,0.045948774,0.028205352,-0.038644994,0.014131079,0.072386455,0.054266118,-0.009487008,0.102786254,0.003096114,0.004502858,-0.010980843,0.026257807,-0.026589072,-0.015698784,0.000991646,0.018394694,-0.056028513,0.055819579,0.023649372,NA,0.082552276,0.024438632,0.090923062,0.037413096,0.073793654,0.02892296,0.028923353,0.04369411,0.038071847,0.12786835,-0.059287148,-0.043588008,0.046873862,0.096425618,0.07114841,-0.064126152,0.048826442,NA,-0.010980843,-0.014037851,-0.002729994,-0.06276774,-0.001458546,1,-0.057757364,-0.029624224,-0.003999362,-0.004130919,NA,-0.005942263,-0.014399246,0.043895614,-0.065473851,0.035921556,0.026913334,NA,-0.023735525
Engine_V8,-0.021649343,-0.364151562,0.42873053,0.21744442,0.42483857,0.477438519,0.347417349,0.471497742,0.355593387,0.419153434,0.066639702,0.119539483,0.329203942,0.113052111,-0.00598345,0.020459838,-0.012558578,-0.120741125,0.002447063,-0.002611313,0.078016008,-0.026495129,0.21714489,-0.104493823,-0.050574395,NA,-0.119638903,-0.081808839,0.115960327,-0.003817052,0.017841498,-0.107406963,-0.105093034,-0.111165858,-0.03151622,-0.184071545,0.062772515,0.034068359,0.323840207,-0.159755057,-0.087157891,0.270175031,0.178495401,NA,-0.113897984,-0.145606564,-0.02831666,-0.651053725,-0.015128661,-0.057757364,1,-0.307275063,-0.041483085,-0.042847649,NA,-0.061635678,0.090265546,0.163472602,-0.086286965,-0.121167284,-0.243566553,NA,0.215845197
Engine_V10,0.34093377,-0.390568143,-0.306223711,-0.33927079,0.201663498,-0.223369671,0.177964982,0.073041743,-0.270730118,0.240539028,0.663675196,0.631188432,0.636418515,0.089619681,-0.037299275,-0.013087464,0.015028683,-0.089701531,-0.007619091,-0.257539149,-0.206738693,0.066713828,-0.328671464,-0.019943769,0.058150718,NA,0.036349018,0.10169282,0.099341788,-0.156721593,-0.035688828,0.000205399,-0.074932949,-0.144818321,-0.179077234,-0.005109141,-0.042922453,-0.102549799,0.173882563,-0.062384005,-0.073903085,-0.331929696,0.300614873,NA,-0.058419207,-0.074682796,-0.014523846,-0.333930775,-0.007759614,-0.029624224,-0.307275063,1,-0.021277013,-0.021976909,NA,-0.031613443,-0.013754167,-0.07012115,-0.339342584,0.494255307,0.194448155,NA,-0.178735668
Engine_V12,0.123918607,-0.086945403,-0.026512629,-0.036257362,0.04118798,-0.026233447,0.017919381,0.004906747,-0.040049523,0.038192625,0.075009073,0.12071552,0.078554961,0.033071782,0.002223723,0.003234089,-0.007886774,0.018859151,-0.019097076,-0.000970112,-0.053785542,0.013211626,-0.033762876,0.010294157,0.016985694,NA,0.039770436,-0.033645776,0.046101869,0.026871217,-0.025927001,0.020773344,0.020773627,0.031382431,0.027344352,0.091838916,-0.042581822,-0.031306225,0.065379344,0.061445069,-0.033199178,-0.083279604,0.063107252,NA,-0.007886774,-0.010082409,-0.001960764,-0.045081689,-0.001047572,-0.003999362,-0.041483085,-0.021277013,1,-0.002966951,NA,-0.004267913,-0.010341974,0.002309253,-0.0470253,0.058746625,0.035404132,NA,-0.033496033
Engine_W8,0.199950376,-0.071688741,-0.019261975,0.027811806,0.096055989,0.018951258,0.111899687,-0.002470022,-0.021673719,0.103040956,0.112378934,0.101252714,0.114205351,0.018589568,0.002296871,0.003340473,-0.008146205,0.019479513,-0.008782339,0.009521233,0.003917907,0.013646215,-0.030654869,-0.016297372,0.017544429,NA,-0.012078974,0.041927064,0.088701954,-0.049964842,-0.021203913,0.021456672,0.021456964,0.032414739,-0.002856451,0.039595771,-0.043982528,-0.032336027,0.079004992,-0.011663766,-0.067236845,-0.03217186,0.046811035,NA,-0.008146205,-0.010414064,-0.002025262,-0.046564626,-0.001082031,-0.004130919,-0.042847649,-0.021976909,-0.002966951,1,NA,-0.004408303,-0.010682168,-0.03739621,-0.048572172,0.105537372,0.036568732,NA,-0.034597867
Engine_W12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Drivetrain_4WD,0.549678199,-0.132137448,-0.070627712,-0.088008788,0.18157002,-0.018360976,0.04449117,0.094038828,-0.055947833,0.16427465,0.216559028,0.243545801,0.180137777,0.071942704,0.003304013,0.004805218,-0.011718189,0.028020977,0.139531933,-0.016120224,-0.003750575,0.019629868,-0.090988874,0.024350863,0.025237389,NA,0.063725348,-0.049990983,0.100733609,0.033902485,-0.031716789,0.03086509,0.510936749,-0.044411985,0.04062831,-0.052074987,0.193327056,-0.072758364,0.035550768,0.102900444,0.010526058,-0.114458626,0.139527653,NA,-0.011718189,-0.01498047,-0.002913309,-0.066982493,-0.001556485,-0.005942263,-0.061635678,-0.031613443,-0.004267913,-0.004408303,NA,1,-0.015366132,0.117881018,-0.069870315,-0.041770069,0.052603554,NA,-0.049768495
Drivetrain_AWD,-0.051645685,-0.071745175,0.145577527,0.096944303,0.120619185,0.169777795,-0.075775597,0.093698863,0.286681501,0.083435715,-0.053687706,-0.057949225,0.038411032,-0.113263711,0.00800626,0.011643968,-0.028395429,-0.06650123,-0.042786442,-0.082578437,-0.095851634,0.016649276,0.026897989,-0.163804078,-0.124169308,NA,0.01703205,0.077903487,-0.04273073,-0.069770306,-0.047031153,-0.117103378,-0.024855142,-0.004731136,0.008495456,-0.122688493,-0.007846299,0.07258478,-0.010448161,-0.081784554,-0.121263869,0.232195004,-0.075666001,NA,-0.028395429,-0.036300561,-0.007059508,-0.049797109,-0.003771663,-0.014399246,0.090265546,-0.013754167,-0.010341974,-0.010682168,NA,-0.015366132,1,-0.130352897,-0.169309223,-0.101216918,-0.292112056,NA,0.3087522
Drivetrain_FWD,0.265511546,-0.251535461,0.093989142,0.108518274,0.393334007,0.070999818,0.161009312,0.211177976,0.1005418,0.279478907,0.163191971,0.143233693,0.005259281,0.293745006,0.028028375,0.020222796,0.043494861,0.164080541,0.026202549,0.197700088,0.159669031,0.162979848,0.105423057,0.090785567,0.195510157,NA,0.036413013,0.150688665,0.131068081,0.082855413,0.03212164,0.197085904,0.205229033,0.145195557,0.130962875,0.348512552,-0.054399627,-0.098396117,0.221962958,0.280391711,0.037105812,-0.129823421,0.274862191,NA,-0.050820317,0.03831487,-0.024713976,-0.132004592,0.028934248,0.043895614,0.163472602,-0.07012115,0.002309253,-0.03739621,NA,0.117881018,-0.130352897,1,-0.592718969,-0.354340929,-0.123045355,NA,0.160351832
Drivetrain_RWD,-0.422654575,0.53174293,0.177823959,0.248638304,-0.441095245,0.123730988,-0.271009186,-0.148032365,0.14088499,-0.40363068,-0.533865992,-0.513545504,-0.429349118,-0.325845978,0.036404732,0.052945511,-0.048891074,-0.047994246,-0.011742654,0.074518007,0.120742405,-0.16161062,0.236188723,-0.026234118,-0.167280258,NA,-0.076792705,-0.158149815,-0.148829899,0.057296827,0.0514952,-0.122843826,-0.092518939,-0.040755984,0.014016213,-0.227809349,0.121237288,0.153012665,-0.203224334,-0.10997661,0.10669856,0.250756694,-0.357051554,NA,-0.12911496,-0.165059863,0.041695943,0.448875578,-0.017149878,-0.065473851,-0.086286965,-0.339342584,-0.0470253,-0.048572172,NA,-0.069870315,-0.169309223,-0.592718969,1,-0.460236701,-0.040153445,NA,-0.017018808
Category_Car,0.233330833,-0.324756682,-0.386129475,-0.465861575,0.033512804,-0.30595973,0.179324129,-0.102099904,-0.412815185,0.133563197,0.483660379,0.483603389,0.494136115,0.112690409,-0.07910002,-0.091877881,0.022718206,-0.097103974,0.003955607,-0.275390996,-0.282211801,0.00345912,-0.415688954,0.003325605,0.037295598,NA,0.043785356,-0.014554265,0.050895225,-0.130927979,-0.077011468,-0.021230209,-0.108678564,-0.112467843,-0.168410267,-0.062954825,-0.081220781,-0.106279244,-0.000644988,-0.146647612,-0.115589209,-0.260823196,0.154587394,NA,0.225753136,0.172137338,-0.019190003,-0.36959894,-0.010252588,0.035921556,-0.121167284,0.494255307,0.058746625,0.105537372,NA,-0.041770069,-0.101216918,-0.354340929,-0.460236701,1,0.319248124,NA,-0.299938965
Category_Pickup,0.109693323,0.135176779,-0.533303206,-0.331873678,-0.387115738,-0.592481534,-0.133517116,-0.46376218,-0.863266074,-0.312123063,0.130542459,0.129093228,0.034712955,-0.023465469,-0.027408182,-0.039861306,0.097207315,-0.046799491,0.138202412,-0.137687925,-0.1858756,-0.119957685,-0.233630359,0.032167055,-0.043562148,NA,0.050443438,-0.057759169,-0.036996388,-0.172644194,-0.185467673,-0.08230629,0.05434096,-0.013986068,0.057644682,0.180732595,-0.176442506,-0.192301456,-0.208007975,0.053326166,-0.132783801,-0.514888605,-0.121759793,NA,0.082794183,0.064854238,-0.044018144,0.038135566,0.0129117,0.026913334,-0.243566553,0.194448155,0.035404132,0.036568732,NA,0.052603554,-0.292112056,-0.123045355,-0.040153445,0.319248124,1,NA,-0.946105181
Category_SUV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
Category_Van,-0.094482186,-0.120188932,0.456908737,0.313987407,0.355889365,0.476592536,0.06148994,0.417998138,0.794506325,0.298177769,-0.121324269,-0.122612393,-0.053063875,0.009185571,0.025931023,0.037712988,-0.091968344,0.043518183,-0.123253927,0.126740898,0.167708169,0.110183058,0.241077615,-0.020563866,0.02989365,NA,-0.040493522,0.071689962,0.043190644,0.153223193,0.173367434,0.0669833,-0.018567078,0.061398467,-0.062084805,-0.147791405,0.174940484,0.194031069,0.188335962,-0.019324781,0.103020749,0.475643227,0.154482286,NA,-0.077219591,-0.056773242,0.046908372,-0.028050135,-0.012215826,-0.023735525,0.215845197,-0.178735668,-0.033496033,-0.034597867,NA,-0.049768495,0.3087522,0.160351832,-0.017018808,-0.299938965,-0.946105181,NA,1
